input,action
"Any[-23.2, 11.6]",-12.003966141699681
"Any[-11.6, 0.0]",-6.946669159878855
"Any[11.6, -11.6]",5.847087900223307
"Any[0.0, -11.6]",1.3767754118564877
"Any[-11.6, 0.0]",-3.1559767559559084
"Any[-23.2, 0.0]",-16.10379392560602
"Any[-23.2, 11.6]",-15.13315848547849
"Any[-11.6, 23.2]",-12.597057389342423
"Any[23.2, 11.6]",7.349176748965788
"Any[-11.6, 11.6]",-10.26681519821661
"Any[-11.6, 23.2]",-10.70258368792993
"Any[-11.6, 0.0]",-15.103199178475673
"Any[23.2, 11.6]",11.949033092432142
"Any[-11.6, -23.2]",-11.609914014677278
"Any[11.6, -23.2]",13.428481940703419
"Any[-23.2, -11.6]",-10.485081575142717
"Any[11.6, 0.0]",9.527927877383386
"Any[11.6, 23.2]",6.190893204529478
"Any[0.0, 23.2]",-3.4768672776839655
"Any[0.0, 11.6]",-4.7318879401918075
"Any[-23.2, -11.6]",-16.06599577775899
"Any[-23.2, 11.6]",-12.632813807637662
"Any[11.6, -23.2]",0.4857928918674119
"Any[0.0, -23.2]",2.2403747709120396
"Any[-23.2, 0.0]",-8.671705296369344
"Any[23.2, 11.6]",15.010397474309633
"Any[-11.6, 11.6]",-12.44312478289363
"Any[-11.6, 23.2]",-9.389861065137838
"Any[-11.6, 23.2]",-13.561373146177512
"Any[23.2, 0.0]",6.646969777732601
"Any[0.0, 23.2]",-0.9275495689488211
"Any[0.0, -23.2]",-4.335063724901294
"Any[0.0, 23.2]",3.9089588370534085
"Any[11.6, 23.2]",1.5102354313602029
"Any[11.6, -23.2]",2.0978741422596934
"Any[23.2, -11.6]",17.667831717282507
"Any[11.6, 23.2]",9.362154761805137
"Any[11.6, -11.6]",6.545322519109169
"Any[0.0, -11.6]",4.382393833449766
"Any[-23.2, -11.6]",-11.350798915657414
"Any[-11.6, 11.6]",-4.495549388490518
"Any[11.6, -11.6]",3.8692109595036044
"Any[-11.6, 11.6]",-8.503057753927443
"Any[0.0, -23.2]",-4.219928723613608
"Any[23.2, 0.0]",19.325526664560996
"Any[-11.6, 23.2]",-6.7320285365137424
"Any[0.0, -11.6]",-3.859425855790942
"Any[-11.6, -23.2]",-5.526571527564948
"Any[-11.6, 23.2]",-3.1616958021206276
"Any[-11.6, 11.6]",-13.95926981837548
"Any[-11.6, 23.2]",-11.895083743156249
"Any[0.0, 23.2]",-6.666459106903052
"Any[-23.2, 0.0]",-19.968014330343635
"Any[11.6, 0.0]",4.788328090403858
"Any[-23.2, -11.6]",-15.719841120293793
"Any[23.2, 0.0]",18.204190810870397
"Any[23.2, 11.6]",12.999163681939816
"Any[11.6, -23.2]",6.296628229971757
"Any[-11.6, 23.2]",-1.6006621660591076
"Any[-11.6, -23.2]",-9.884184469759997
"Any[-23.2, 11.6]",-9.33031256554899
"Any[23.2, 0.0]",10.440164171348004
"Any[11.6, -11.6]",4.374970419405451
"Any[0.0, 23.2]",3.5187347982439645
"Any[-23.2, 0.0]",-18.299115666430385
"Any[23.2, 0.0]",13.66206703075144
"Any[23.2, -11.6]",11.522802267387515
"Any[0.0, 11.6]",3.992954826636344
"Any[-11.6, 23.2]",-8.520098847400293
"Any[-11.6, 0.0]",-12.099960028093935
